id,person,tweets,gender,title,category
125,CNN panelists,5,n,cnn panelists,other people
126,Mark Cuban,1,m,"owner, dallas mavericks",other people
127,Gonzalo P. Curiel,5,m,judge of the united states district court for the southern district of california,other people
128,Rodrigo Duterte,1,m,president of the philippines,other people
129,Robert Gates,5,m,former secretary of defense,other people
130,The cast of “Hamilton”,2,n,cast of the broadway show,other people
131,Harry Hurt III,4,m,"author, “lost tycoon: the many lives of donald j. trump”",other people
132,Cheri Jacobus,8,f,g.o.p. consultant,other people
133,John Kasich's ad guy,1,n,ad guy,other people
134,Charles Koch,1,m,"conservative donor, billionaire, philanthropist",other people
135,John Legere,2,m,"chief executive, t-mobile",other people
136,Errol Louis,1,m,political commentator,other people
137,Frank Luntz,6,m,political consultant,other people
138,Alicia Machado,3,f,former miss universe,other people
139,Angela Merkel,1,f,chancellor of germany,other people
140,Russell Moore,2,m,evangelical leader,other people
141,Michael J. Morell,3,m,former deputy director of the c.i.a.,other people
142,Dana Perino,1,f,former white house press secretary,other people
143,Colin Powell,2,m,former secretary of state,other people
144,Barbara Res,1,f,former trump executive and author of “all alone on the 68th floor”,other people
145,John Roberts,2,m,united states chief justice,other people
146,Karl Rove,48,m,former deputy white house chief of staff,other people
147,Tony Schwartz,6,m,"ghostwriter, ""the art of the deal""",other people
148,Paul Singer,1,m,hedge fund manager,other people
149,Stuart Stevens,12,m,political consultant,other people
150,Alwaleed bin Talal,2,m,"prince, saudi arabia",other people
151,Vandals,1,n,"whoever firebombed a g.o.p. office in orange county, n.c.",other people
152,Bob Vander Plaats,7,m,"president and chief executive, the family leader",other people
153,Frank VanderSloot,1,m,entrepreneur,other people
154,Rick Wilson,2,m,political consultant,other people
155,Alec Baldwin,2,m,actor,celebrities
156,Brandon Victor Dixon,2,m,"actor portraying aaron burr in ""hamilton""",celebrities
157,Whoopi Goldberg,3,f,actress and television personality,celebrities
158,Samuel L. Jackson,4,m,actor,celebrities
159,Penn Jillette,7,m,performer,celebrities
160,Woody Johnson,1,m,"owner, the new york jets",celebrities
161,John Oliver,1,m,"comedian, host, “last week tonight”",celebrities
162,Ronda Rousey,1,f,mixed martial artist,celebrities
163,Paulina Vega,1,f,former miss universe,celebrities
164,Neil Young,1,m,musician,celebrities
165,Britain,1,n,country,places
166,China,1,n,country,places
167,Germany,2,n,country,places
168,Iran,1,n,country,places
169,Mexico,6,n,country,places
170,Saudi Arabia,1,n,country,places
171,United States,14,n,country,places
172,"Washington, D.C.",2,n,state,places
173,New Jersey,1,n,state,places
174,Jeb Bush campaign,2,n,,groups and political organizations
175,Jeb Bush supporters,1,n,,groups and political organizations
176,Club for Growth,18,n,antitax political group,groups and political organizations
177,Ted Cruz campaign,2,n,,groups and political organizations
178,Democratic presidential candidates,2,n,,groups and political organizations
179,Democrats,7,n,,groups and political organizations
180,European leaders,1,n,terrorist group,groups and political organizations
181,Islamic State,3,n,,groups and political organizations
182,The Obama administration,1,n,,groups and political organizations
183,Other presidential candidates,4,n,mostly republican politicians,groups and political organizations
184,‘Politically correct fools’,2,n,,groups and political organizations
185,Politicians,9,n,,groups and political organizations
186,The public,2,n,,groups and political organizations
187,Pundits,1,n,,groups and political organizations
188,The Republican establishment,4,n,,groups and political organizations
189,Republican Party,1,n,political party,groups and political organizations
190,Republican Party of Virginia,6,n,political party,groups and political organizations
191,Other Republican candidates,1,n,,groups and political organizations
192,Republican presidential candidates,4,n,,groups and political organizations
193,Republicans,6,n,,groups and political organizations
194,“Super PACs”,1,n,political fund-raising committees,groups and political organizations
195,Donald Trump opposition,1,n,,groups and political organizations
196,U.S. leaders,3,n,,groups and political organizations
197,Washington insiders,1,n,,groups and political organizations
198,ABC News Politics,2,n,news organization,media organizations
199,The Associated Press,9,n,news organization,media organizations
200,CNBC,6,n,news organization,media organizations
201,CNN,76,n,news organization,media organizations
202,The Daily Beast,2,n,news website,media organizations
203,The Des Moines Register,8,n,newspaper,media organizations
204,Forbes,4,n,magazine,media organizations
205,Fortune,1,n,magazine,media organizations
206,Fox News,20,n,news organization,media organizations
207,The Huffington Post,5,n,news organization,media organizations
208,NBC News,1,n,news organization,media organizations
209,National Review,8,n,magazine,media organizations
210,The New Hampshire Union Leader,21,n,newspaper,media organizations
211,New York Daily News,10,n,newspaper,media organizations
212,The New York Times,102,n,newspaper,media organizations
213,Politico,27,n,news organization,media organizations
214,RedState.com,1,n,conservative website,media organizations
215,USA Today,1,n,newspaper,media organizations
216,Univision,4,n,media organization,media organizations
217,Vanity Fair,4,n,magazine,media organizations
218,The Wall Street Journal,14,n,newspaper,media organizations
219,The Washington Post,11,n,newspaper,media organizations
220,The Weekly Standard,1,n,magazine,media organizations
221,Anderson Cooper “360”,1,n,cnn news program,television shows
222,“Inside Politics”,1,n,cnn political show,television shows
223,“The Last Word with Lawrence O'Donnell”,1,n,television show,television shows
224,“Meet the Press”,7,n,television show,television shows
225,“Morning Joe”,18,n,television show,television shows
226,“New Day”,2,n,cnn news program,television shows
227,“The O'Reilly Factor”,2,n,fox news program,television shows
228,“The View”,5,n,television show,television shows
229,“World News Tonight”,1,n,abc news program,television shows
230,The 2016 election,5,n,,other
231,ABC News-Washington Post poll,2,n,polling group,other
232,All Business: The Essential Donald Trump,2,n,documentary film,other
233,Amazon,3,n,online retailer,other
234,The American delegate system,17,n,,other
235,Assault allegations,9,n,allegations of sexual assault brought forward by several women,other
236,Bandon Dunes Golf Resort,1,n,golf course,other
237,The Benghazi hearings,1,n,congressional hearings,other
238,“The Bias-Free Language Guide”,1,n,guide to politically sensitive speaking,other
239,"The Bill, Hillary and Chelsea Clinton Foundation",1,n,philanthropic organization,other
240,Common Core standards,,n,education policy,other
241,Ted Cruz’s Iowa caucus speech,1,n,victory speech,other
242,The Cruz-Kasich pact,7,n,failed attempt at political cooperation,other
243,Leaked D.N.C. emails,4,n,,other
244,Debates,1,n,,other
245,The Democratic debate,2,n,,other
246,Democratic National Convention,5,n,,other
247,The electoral process,18,n,,other
248,The Fox News debate,2,n,republican presidential debate,other
249,Fox News polls,1,n,polling group,other
250,“Hamilton”,1,n,smash broadway musical,other
251,Illegal immigration,1,n,,other
252,Internal Revenue Service,1,n,government agency,other
253,The Iran nuclear deal,16,n,international agreement,other
254,Macy's,17,n,department store,other
255,The mainstream media,83,n,,other
256,Major League Baseball,1,n,sports organization,other
257,Microphone at the first presidential debate,2,n,,other
258,New York Times articles,4,n,,other
259,North American Free Trade Agreement,2,n,,other
260,North Atlantic Treaty Organization,1,n,international alliance,other
261,Obamacare,15,n,health care law,other
262,A podium in the Oval Office,2,n,,other
263,Political ads in Indiana,1,n,,other
264,Protesters,7,n,at mr. trump's rallies,other
265,Recount effort in Pennsylvania,1,n,,other
266,Republican National Committee,3,n,,other
267,The Rexnord Corporation,1,n,manufacturing company,other
268,“Rockin’ in the Free World”,1,n,popular song,other
269,“Saturday Night Live”,7,n,television program,other
270,Special interests,3,n,,other
271,The State of the Union address,3,n,,other
272,Super Bowl 50,1,n,sporting event,other
273,T-Mobile,1,n,telecommunications company,other
274,Trans-Pacific Partnership,4,n,trade deal,other
275,Transportation Security Administration,1,n,government agency,other
276,“The Triumph of William McKinley”,1,n,book,other
277,United States employment situation,2,n,government jobs report,other
278,U.S.-Mexico border,2,n,political boundary,other
279,U.S. trade pacts,2,n,,other
280,The United States government,1,n,,other
281,U.S. visa system,1,n,,other
282,Veterans Affairs,1,n,government agency,other
283,Vote recount in Wisconsin,1,n,,other
284,Voters,1,n,,other
285,Wall Street Journal-NBC News poll,5,n,polling group,other
286,Early voting in Florida,2,n,,other
287,Investigation of Hillary Clinton's email,1,n,,other
288,Television commercials,4,n,advertisements critical of mr. trump,other
